region name;region url
Москва;https://moskva.n1.ru/snyat/garazhi/region-Moskva/?limit=100
Московская;https://mo.n1.ru/snyat/garazhi/region-Moskovskaya-oblast/?limit=100
Белгородская;https://belgorod.n1.ru/snyat/garazhi/region-Belgorodskaya-oblast/?limit=100
Брянская;https://bryansk.n1.ru/snyat/garazhi/region-Bryanskaya-oblast/?limit=100
Владимирская;https://vladimir.n1.ru/snyat/garazhi/region-Vladimirskaya-oblast/?limit=100
Воронежская;https://voronezh.n1.ru/snyat/garazhi/region-Voronezhskaya-oblast/?limit=100
Ивановская;https://ivanovo.n1.ru/snyat/garazhi/region-Ivanovskaya-oblast/?limit=100
Калужская;https://kaluga.n1.ru/snyat/garazhi/region-Kaluzhskaya-oblast/?limit=100
Костромская;https://kostroma.n1.ru/snyat/garazhi/region-Kostromskaya-oblast/?limit=100
Курская;https://kursk.n1.ru/snyat/garazhi/region-Kurskaya-oblast/?limit=100
Липецкая;https://lipeck.n1.ru/snyat/garazhi/region-Lipeckaya-oblast/?limit=100
Орловская;https://orel.n1.ru/snyat/garazhi/region-Orlovskaya-oblast/?limit=100
Рязанская;https://ryazan.n1.ru/snyat/garazhi/region-Ryazanskaya-oblast/?limit=100
Смоленская;https://smolensk.n1.ru/snyat/garazhi/region-Smolenskaya-oblast/?limit=100
Тамбовская;https://tambov.n1.ru/snyat/garazhi/region-Tambovskaya-oblast/?limit=100
Тверская;https://tver.n1.ru/snyat/garazhi/region-Tverskaya-oblast/?limit=100
Тульская;https://tula.n1.ru/snyat/garazhi/region-Tulskaya-oblast/?limit=100
Ярославская;https://yaroslavl.n1.ru/snyat/garazhi/region-Yaroslavskaya-oblast/?limit=100
Санкт-Петербург;https://sankt-peterburg.n1.ru/snyat/garazhi/region-Sankt-Peterburg/?limit=100
Ленинградская;https://lo.n1.ru/snyat/garazhi/region-Leningradskaya-oblast/?limit=100
Архангельская;https://arhangelsk.n1.ru/snyat/garazhi/region-Arhangelskaya-oblast/?limit=100
Вологодская;https://vologda.n1.ru/snyat/garazhi/region-Vologodskaya-oblast/?limit=100
Калининградская;https://kaliningrad.n1.ru/snyat/garazhi/region-Kaliningradskaya-oblast/?limit=100
Карелия;https://petrozavodsk.n1.ru/snyat/garazhi/region-Respublika-Kareliya/?limit=100
Коми;https://syktyvkar.n1.ru/snyat/garazhi/region-Respublika-Komi/?limit=100
Мурманская;https://murmansk.n1.ru/snyat/garazhi/region-Murmanskaya-oblast/?limit=100
Ненецкий;https://naryan-mar.n1.ru/snyat/garazhi/region-Neneckiy-AO/?limit=100
Новгородская;https://velikiy-novgorod.n1.ru/snyat/garazhi/region-Novgorodskaya-oblast/?limit=100
Псковская;https://pskov.n1.ru/snyat/garazhi/region-Pskovskaya-oblast/?limit=100
Алтайский;https://barnaul.n1.ru/snyat/garazhi/region-Altayskiy-kray/?limit=100
Бурятия;https://ulan-ude.n1.ru/snyat/garazhi/region-Respublika-Buryatiya/?limit=100
Забайкальский;https://chita.n1.ru/snyat/garazhi/region-Zabaykalskiy-kray/?limit=100
Иркутская;https://irkutsk.n1.ru/snyat/garazhi/region-Irkutskaya-oblast/?limit=100
Кемеровская;https://kemerovo.n1.ru/snyat/garazhi/region-Kemerovskaya-oblast/?limit=100
Красноярский;https://krasnoyarsk.n1.ru/snyat/garazhi/region-Krasnoyarskiy-kray/?limit=100
Новосибирская;https://novosibirsk.n1.ru/snyat/garazhi/region-Novosibirskaya-oblast/?limit=100
Омская;https://omsk.n1.ru/snyat/garazhi/region-Omskaya-oblast/?limit=100
Республика Алтай;https://gorno-altaysk.n1.ru/snyat/garazhi/region-Respublika-Altay/?limit=100
Томская;https://tomsk.n1.ru/snyat/garazhi/region-Tomskaya-oblast/?limit=100
Тыва;https://kyzyl.n1.ru/snyat/garazhi/region-Respublika-Tyva/?limit=100
Хакасия;https://abakan.n1.ru/snyat/garazhi/region-Respublika-Hakasiya/?limit=100
Башкортостан;https://ufa.n1.ru/snyat/garazhi/region-Respublika-Bashkortostan/?limit=100
Кировская;https://kirov.n1.ru/snyat/garazhi/region-Kirovskaya-oblast/?limit=100
Марий;https://yoshkar-ola.n1.ru/snyat/garazhi/region-Respublika-Mariy-El/?limit=100
Мордовия;https://saransk.n1.ru/snyat/garazhi/region-Respublika-Mordoviya/?limit=100
Нижегородская;https://nizhniy-novgorod.n1.ru/snyat/garazhi/region-Nizhegorodskaya-oblast/?limit=100
Оренбургская;https://orenburg.n1.ru/snyat/garazhi/region-Orenburgskaya-oblast/?limit=100
Пензенская;https://penza.n1.ru/snyat/garazhi/region-Penzenskaya-oblast/?limit=100
Пермский;https://perm.n1.ru/snyat/garazhi/region-Permskiy-kray/?limit=100
Самарская;https://samara.n1.ru/snyat/garazhi/region-Samarskaya-oblast/?limit=100
Саратовская;https://saratov.n1.ru/snyat/garazhi/region-Saratovskaya-oblast/?limit=100
Татарстан;https://kazan.n1.ru/snyat/garazhi/region-Respublika-Tatarstan/?limit=100
Удмуртия;https://izhevsk.n1.ru/snyat/garazhi/region-Udmurtskaya-respublika/?limit=100
Ульяновская;https://ulyanovsk.n1.ru/snyat/garazhi/region-Ulyanovskaya-oblast/?limit=100
Чувашия;https://cheboksary.n1.ru/snyat/garazhi/region-Respublika-Chuvashiya/?limit=100
Курганская;https://kurgan.n1.ru/snyat/garazhi/region-Kurganskaya-oblast/?limit=100
