region name;region url
Москва;https://moskva.n1.ru/kupit/komnaty/region-Moskva/?limit=100
Московская;https://mo.n1.ru/kupit/komnaty/region-Moskovskaya-oblast/?limit=100
Белгородская;https://belgorod.n1.ru/kupit/komnaty/region-Belgorodskaya-oblast/?limit=100
Брянская;https://bryansk.n1.ru/kupit/komnaty/region-Bryanskaya-oblast/?limit=100
Владимирская;https://vladimir.n1.ru/kupit/komnaty/region-Vladimirskaya-oblast/?limit=100
Воронежская;https://voronezh.n1.ru/kupit/komnaty/region-Voronezhskaya-oblast/?limit=100
Ивановская;https://ivanovo.n1.ru/kupit/komnaty/region-Ivanovskaya-oblast/?limit=100
Калужская;https://kaluga.n1.ru/kupit/komnaty/region-Kaluzhskaya-oblast/?limit=100
Костромская;https://kostroma.n1.ru/kupit/komnaty/region-Kostromskaya-oblast/?limit=100
Курская;https://kursk.n1.ru/kupit/komnaty/region-Kurskaya-oblast/?limit=100
Липецкая;https://lipeck.n1.ru/kupit/komnaty/region-Lipeckaya-oblast/?limit=100
Орловская;https://orel.n1.ru/kupit/komnaty/region-Orlovskaya-oblast/?limit=100
Рязанская;https://ryazan.n1.ru/kupit/komnaty/region-Ryazanskaya-oblast/?limit=100
Смоленская;https://smolensk.n1.ru/kupit/komnaty/region-Smolenskaya-oblast/?limit=100
Тамбовская;https://tambov.n1.ru/kupit/komnaty/region-Tambovskaya-oblast/?limit=100
Тверская;https://tver.n1.ru/kupit/komnaty/region-Tverskaya-oblast/?limit=100
Тульская;https://tula.n1.ru/kupit/komnaty/region-Tulskaya-oblast/?limit=100
Ярославская;https://yaroslavl.n1.ru/kupit/komnaty/region-Yaroslavskaya-oblast/?limit=100
Санкт-Петербург;https://sankt-peterburg.n1.ru/kupit/komnaty/region-Sankt-Peterburg/?limit=100
Ленинградская;https://lo.n1.ru/kupit/komnaty/region-Leningradskaya-oblast/?limit=100
Архангельская;https://arhangelsk.n1.ru/kupit/komnaty/region-Arhangelskaya-oblast/?limit=100
Вологодская;https://vologda.n1.ru/kupit/komnaty/region-Vologodskaya-oblast/?limit=100
Калининградская;https://kaliningrad.n1.ru/kupit/komnaty/region-Kaliningradskaya-oblast/?limit=100
Карелия;https://petrozavodsk.n1.ru/kupit/komnaty/region-Respublika-Kareliya/?limit=100
Коми;https://syktyvkar.n1.ru/kupit/komnaty/region-Respublika-Komi/?limit=100
Мурманская;https://murmansk.n1.ru/kupit/komnaty/region-Murmanskaya-oblast/?limit=100
Ненецкий;https://naryan-mar.n1.ru/kupit/komnaty/region-Neneckiy-AO/?limit=100
Новгородская;https://velikiy-novgorod.n1.ru/kupit/komnaty/region-Novgorodskaya-oblast/?limit=100
Псковская;https://pskov.n1.ru/kupit/komnaty/region-Pskovskaya-oblast/?limit=100
Алтайский;https://barnaul.n1.ru/kupit/komnaty/region-Altayskiy-kray/?limit=100
Бурятия;https://ulan-ude.n1.ru/kupit/komnaty/region-Respublika-Buryatiya/?limit=100
Забайкальский;https://chita.n1.ru/kupit/komnaty/region-Zabaykalskiy-kray/?limit=100
Иркутская;https://irkutsk.n1.ru/kupit/komnaty/region-Irkutskaya-oblast/?limit=100
Кемеровская;https://kemerovo.n1.ru/kupit/komnaty/region-Kemerovskaya-oblast/?limit=100
Красноярский;https://krasnoyarsk.n1.ru/kupit/komnaty/region-Krasnoyarskiy-kray/?limit=100
Новосибирская;https://novosibirsk.n1.ru/kupit/komnaty/region-Novosibirskaya-oblast/?limit=100
Омская;https://omsk.n1.ru/kupit/komnaty/region-Omskaya-oblast/?limit=100
Республика Алтай;https://gorno-altaysk.n1.ru/kupit/komnaty/region-Respublika-Altay/?limit=100
Томская;https://tomsk.n1.ru/kupit/komnaty/region-Tomskaya-oblast/?limit=100
Тыва;https://kyzyl.n1.ru/kupit/komnaty/region-Respublika-Tyva/?limit=100
Хакасия;https://abakan.n1.ru/kupit/komnaty/region-Respublika-Hakasiya/?limit=100
Башкортостан;https://ufa.n1.ru/kupit/komnaty/region-Respublika-Bashkortostan/?limit=100
Кировская;https://kirov.n1.ru/kupit/komnaty/region-Kirovskaya-oblast/?limit=100
Марий;https://yoshkar-ola.n1.ru/kupit/komnaty/region-Respublika-Mariy-El/?limit=100
Мордовия;https://saransk.n1.ru/kupit/komnaty/region-Respublika-Mordoviya/?limit=100
Нижегородская;https://nizhniy-novgorod.n1.ru/kupit/komnaty/region-Nizhegorodskaya-oblast/?limit=100
Оренбургская;https://orenburg.n1.ru/kupit/komnaty/region-Orenburgskaya-oblast/?limit=100
Пензенская;https://penza.n1.ru/kupit/komnaty/region-Penzenskaya-oblast/?limit=100
Пермский;https://perm.n1.ru/kupit/komnaty/region-Permskiy-kray/?limit=100
Самарская;https://samara.n1.ru/kupit/komnaty/region-Samarskaya-oblast/?limit=100
Саратовская;https://saratov.n1.ru/kupit/komnaty/region-Saratovskaya-oblast/?limit=100
Татарстан;https://kazan.n1.ru/kupit/komnaty/region-Respublika-Tatarstan/?limit=100
Удмуртия;https://izhevsk.n1.ru/kupit/komnaty/region-Udmurtskaya-respublika/?limit=100
Ульяновская;https://ulyanovsk.n1.ru/kupit/komnaty/region-Ulyanovskaya-oblast/?limit=100
Чувашия;https://cheboksary.n1.ru/kupit/komnaty/region-Respublika-Chuvashiya/?limit=100
Курганская;https://kurgan.n1.ru/kupit/komnaty/region-Kurganskaya-oblast/?limit=100
Свердловская;https://ekaterinburg.n1.ru/kupit/komnaty/region-Sverdlovskaya-oblast/?limit=100
Тюменская;https://tumen.n1.ru/kupit/komnaty/region-Tumenskaya-oblast/?limit=100
Ханты-Мансийский;https://hanty-mansiysk.n1.ru/kupit/komnaty/region-Hanty-Mansiyskiy-Avtonomnyi-okrug/?limit=100
Челябинская;https://chelyabinsk.n1.ru/kupit/komnaty/region-Chelyabinskaya-oblast/?limit=100
Ямало-Ненецкий;https://salehard.n1.ru/kupit/komnaty/region-Yamalo-Neneckiy-AO/?limit=100
Адыгея;https://maykop.n1.ru/kupit/komnaty/region-Respublika-Adygeya/?limit=100
Астраханская;https://astrahan.n1.ru/kupit/komnaty/region-Astrahanskaya-oblast/?limit=100
Волгоградская;https://volgograd.n1.ru/kupit/komnaty/region-Volgogradskaya-oblast/?limit=100
Калмыкия;https://elista.n1.ru/kupit/komnaty/region-Respublika-Kalmykiya/?limit=100
