region name;region url
Москва;https://moskva.n1.ru/kupit/kvartiry/region-Moskva/?limit=100
Московская;https://mo.n1.ru/kupit/kvartiry/region-Moskovskaya-oblast/?limit=100
Белгородская;https://belgorod.n1.ru/kupit/kvartiry/region-Belgorodskaya-oblast/?limit=100
Брянская;https://bryansk.n1.ru/kupit/kvartiry/region-Bryanskaya-oblast/?limit=100
Владимирская;https://vladimir.n1.ru/kupit/kvartiry/region-Vladimirskaya-oblast/?limit=100
Воронежская;https://voronezh.n1.ru/kupit/kvartiry/region-Voronezhskaya-oblast/?limit=100
Ивановская;https://ivanovo.n1.ru/kupit/kvartiry/region-Ivanovskaya-oblast/?limit=100
Калужская;https://kaluga.n1.ru/kupit/kvartiry/region-Kaluzhskaya-oblast/?limit=100
Костромская;https://kostroma.n1.ru/kupit/kvartiry/region-Kostromskaya-oblast/?limit=100
Курская;https://kursk.n1.ru/kupit/kvartiry/region-Kurskaya-oblast/?limit=100
Липецкая;https://lipeck.n1.ru/kupit/kvartiry/region-Lipeckaya-oblast/?limit=100
Орловская;https://orel.n1.ru/kupit/kvartiry/region-Orlovskaya-oblast/?limit=100
Рязанская;https://ryazan.n1.ru/kupit/kvartiry/region-Ryazanskaya-oblast/?limit=100
Смоленская;https://smolensk.n1.ru/kupit/kvartiry/region-Smolenskaya-oblast/?limit=100
Тамбовская;https://tambov.n1.ru/kupit/kvartiry/region-Tambovskaya-oblast/?limit=100
Тверская;https://tver.n1.ru/kupit/kvartiry/region-Tverskaya-oblast/?limit=100
Тульская;https://tula.n1.ru/kupit/kvartiry/region-Tulskaya-oblast/?limit=100
Ярославская;https://yaroslavl.n1.ru/kupit/kvartiry/region-Yaroslavskaya-oblast/?limit=100
Санкт-Петербург;https://sankt-peterburg.n1.ru/kupit/kvartiry/region-Sankt-Peterburg/?limit=100
Ленинградская;https://lo.n1.ru/kupit/kvartiry/region-Leningradskaya-oblast/?limit=100
Архангельская;https://arhangelsk.n1.ru/kupit/kvartiry/region-Arhangelskaya-oblast/?limit=100
Вологодская;https://vologda.n1.ru/kupit/kvartiry/region-Vologodskaya-oblast/?limit=100
Калининградская;https://kaliningrad.n1.ru/kupit/kvartiry/region-Kaliningradskaya-oblast/?limit=100
Карелия;https://petrozavodsk.n1.ru/kupit/kvartiry/region-Respublika-Kareliya/?limit=100
Коми;https://syktyvkar.n1.ru/kupit/kvartiry/region-Respublika-Komi/?limit=100
Мурманская;https://murmansk.n1.ru/kupit/kvartiry/region-Murmanskaya-oblast/?limit=100
Ненецкий;https://naryan-mar.n1.ru/kupit/kvartiry/region-Neneckiy-AO/?limit=100
Новгородская;https://velikiy-novgorod.n1.ru/kupit/kvartiry/region-Novgorodskaya-oblast/?limit=100
Псковская;https://pskov.n1.ru/kupit/kvartiry/region-Pskovskaya-oblast/?limit=100
Алтайский;https://barnaul.n1.ru/kupit/kvartiry/region-Altayskiy-kray/?limit=100
Бурятия;https://ulan-ude.n1.ru/kupit/kvartiry/region-Respublika-Buryatiya/?limit=100
Забайкальский;https://chita.n1.ru/kupit/kvartiry/region-Zabaykalskiy-kray/?limit=100
Иркутская;https://irkutsk.n1.ru/kupit/kvartiry/region-Irkutskaya-oblast/?limit=100
Кемеровская;https://kemerovo.n1.ru/kupit/kvartiry/region-Kemerovskaya-oblast/?limit=100
Красноярский;https://krasnoyarsk.n1.ru/kupit/kvartiry/region-Krasnoyarskiy-kray/?limit=100
Новосибирская;https://novosibirsk.n1.ru/kupit/kvartiry/region-Novosibirskaya-oblast/?limit=100
Омская;https://omsk.n1.ru/kupit/kvartiry/region-Omskaya-oblast/?limit=100
Республика Алтай;https://gorno-altaysk.n1.ru/kupit/kvartiry/region-Respublika-Altay/?limit=100
Томская;https://tomsk.n1.ru/kupit/kvartiry/region-Tomskaya-oblast/?limit=100
Тыва;https://kyzyl.n1.ru/kupit/kvartiry/region-Respublika-Tyva/?limit=100
Хакасия;https://abakan.n1.ru/kupit/kvartiry/region-Respublika-Hakasiya/?limit=100
Башкортостан;https://ufa.n1.ru/kupit/kvartiry/region-Respublika-Bashkortostan/?limit=100
Кировская;https://kirov.n1.ru/kupit/kvartiry/region-Kirovskaya-oblast/?limit=100
Марий;https://yoshkar-ola.n1.ru/kupit/kvartiry/region-Respublika-Mariy-El/?limit=100
Мордовия;https://saransk.n1.ru/kupit/kvartiry/region-Respublika-Mordoviya/?limit=100
Нижегородская;https://nizhniy-novgorod.n1.ru/kupit/kvartiry/region-Nizhegorodskaya-oblast/?limit=100
Оренбургская;https://orenburg.n1.ru/kupit/kvartiry/region-Orenburgskaya-oblast/?limit=100
Пензенская;https://penza.n1.ru/kupit/kvartiry/region-Penzenskaya-oblast/?limit=100
Пермский;https://perm.n1.ru/kupit/kvartiry/region-Permskiy-kray/?limit=100
Самарская;https://samara.n1.ru/kupit/kvartiry/region-Samarskaya-oblast/?limit=100
Саратовская;https://saratov.n1.ru/kupit/kvartiry/region-Saratovskaya-oblast/?limit=100
Татарстан;https://kazan.n1.ru/kupit/kvartiry/region-Respublika-Tatarstan/?limit=100
Удмуртия;https://izhevsk.n1.ru/kupit/kvartiry/region-Udmurtskaya-respublika/?limit=100
Ульяновская;https://ulyanovsk.n1.ru/kupit/kvartiry/region-Ulyanovskaya-oblast/?limit=100
Чувашия;https://cheboksary.n1.ru/kupit/kvartiry/region-Respublika-Chuvashiya/?limit=100
Курганская;https://kurgan.n1.ru/kupit/kvartiry/region-Kurganskaya-oblast/?limit=100
Свердловская;https://ekaterinburg.n1.ru/kupit/kvartiry/region-Sverdlovskaya-oblast/?limit=100
Тюменская;https://tumen.n1.ru/kupit/kvartiry/region-Tumenskaya-oblast/?limit=100
Ханты-Мансийский;https://hanty-mansiysk.n1.ru/kupit/kvartiry/region-Hanty-Mansiyskiy-Avtonomnyi-okrug/?limit=100
Челябинская;https://chelyabinsk.n1.ru/kupit/kvartiry/region-Chelyabinskaya-oblast/?limit=100
Ямало-Ненецкий;https://salehard.n1.ru/kupit/kvartiry/region-Yamalo-Neneckiy-AO/?limit=100
Адыгея;https://maykop.n1.ru/kupit/kvartiry/region-Respublika-Adygeya/?limit=100
Астраханская;https://astrahan.n1.ru/kupit/kvartiry/region-Astrahanskaya-oblast/?limit=100
Волгоградская;https://volgograd.n1.ru/kupit/kvartiry/region-Volgogradskaya-oblast/?limit=100
Калмыкия;https://elista.n1.ru/kupit/kvartiry/region-Respublika-Kalmykiya/?limit=100
Краснодарский;https://krasnodar.n1.ru/kupit/kvartiry/region-Krasnodarskiy-kray/?limit=100
Ростовская;https://rostov.n1.ru/kupit/kvartiry/region-Rostovskaya-oblast/?limit=100
Амурская;https://blagoveschensk.n1.ru/kupit/kvartiry/region-Amurskaya-oblast/?limit=100
Камчатский;https://petropavlovsk-kamchatskiy.n1.ru/kupit/kvartiry/region-Kamchatskiy-kray/?limit=100
Магаданская;https://magadan.n1.ru/kupit/kvartiry/region-Magadanskaya-oblast/?limit=100
Приморский;https://vladivostok.n1.ru/kupit/kvartiry/region-Primorskiy-kray/?limit=100
Сахалинская;https://uzhno-sahalinsk.n1.ru/kupit/kvartiry/region-Sahalinskaya-oblast/?limit=100
Хабаровский;https://habarovsk.n1.ru/kupit/kvartiry/region-Habarovskiy-kray/?limit=100
Дагестан;https://mahachkala.n1.ru/kupit/kvartiry/region-Respublika-Dagestan/?limit=100
Кабардино-Балкария;https://nalchik.n1.ru/kupit/kvartiry/region-Kabardino-Balkarskaya-respublika/?limit=100
Карачаево-Черкесия;https://cherkessk.n1.ru/kupit/kvartiry/region-Karachaevo-Cherkesskaya-respublika/?limit=100
Северная Осетия;https://vladikavkaz.n1.ru/kupit/kvartiry/region-Respublika-Severnaya-Osetiya---Alaniya/?limit=100
Ставропольский;https://stavropol.n1.ru/kupit/kvartiry/region-Stavropolskiy-kray/?limit=100
